[2020-03-03T00:01:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:12+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:30+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:36+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:40+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:48+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:49+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:01:54+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:03+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:21+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:26+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:02:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:03:33+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:04:46+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:04:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:13+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:31+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:37+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:41+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:51+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:06:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:07:25+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:07:31+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:07:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:09:21+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:09:24+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:09:40+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:10:45+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:11:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:11:21+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:13:07+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:13:25+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:14:17+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:17:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:18:33+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:19:35+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:19:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:21:02+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:21:05+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:23:29+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:23:37+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:23:53+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:26:23+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:26:43+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:27:23+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:27:59+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:28:19+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:28:50+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:30:04+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:30:16+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:30:32+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:30:42+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:31:49+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:32:56+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:33:38+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:33:46+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:34:36+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:35:02+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:36:01+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:36:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:37:12+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:37:47+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:38:39+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:38:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:38:46+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:39:34+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:40:08+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:40:57+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:41:11+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:41:16+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:41:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:41:58+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:42:04+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:42:35+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:42:44+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:43:02+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:43:28+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:43:52+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:45:00+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:45:18+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:47:26+08:00][error] array_column() expects parameter 1 to be array, null given
[2020-03-03T00:47:36+08:00][error] array_column() expects parameter 1 to be array, null given
